k_0,k_1
0.0,0.0
633.1833333333334,-110.6019880992629
1203.0483333333332,-210.14377738859952
1715.9268333333332,-299.73138774900247
2177.517483333333,-380.3602370733651
2592.9490683333333,-452.92620146529146
2966.8374948333335,-518.2355694180252
3303.3370786833334,-577.0140005754856
3606.1867041483333,-629.9145886171999
3878.751367066833,-677.5251178547428
4124.059563693483,-720.3745941685314
4344.836940657468,-758.9391228509412
4543.536579925055,-793.64719866511
4722.3662552658825,-824.8844668978618
4883.312963072628,-852.9980083073385
5028.165000098698,-878.3001955758675
5158.531833422162,-901.0721641175436
5275.861983413279,-921.5669358050521
5381.459118405284,-940.0122303238098
5476.496539898089,-956.6129953906917
5562.030219241614,-971.5536839508854
5639.010530650786,-985.0003036550597
5708.292810919041,-997.1022613888166
5770.64686316047,-1007.9940233491978
5826.765510177756,-1017.796609113541
5877.272292493314,-1026.6189363014498
5922.728396577316,-1034.5590307705677
5963.638890252918,-1041.7051157927738
6000.45833456096,-1048.1365923127594
6033.595834438197,-1053.9249211807464
6063.41958432771,-1059.1344171619346
6090.260959228272,-1063.822963545004
6114.418196638779,-1068.0426552897666
6136.159710308234,-1071.8403778600527
6155.727072610744,-1075.2583281733102
6173.337698683003,-1078.3344834552422
6189.187262148036,-1081.1030232089809
6203.451869266566,-1083.5947089873457
6216.290015673243,-1085.837226187874
6227.8443474392525,-1087.8554916683495
6238.243246028661,-1089.6719306007774
6247.602254759128,-1091.3067256399625
6256.025362616549,-1092.7780411752292
6263.606159688227,-1094.102225156969
6270.428877052738,-1095.293990740535
6276.569322680798,-1096.3665797657445
6282.095723746052,-1097.3319098884328
6287.06948470478,-1098.2007069988524
6291.545869567635,-1098.98262439823
6295.574615944205,-1099.6863500576699
6299.200487683118,-1100.3197031511659
6302.463772248139,-1100.8897209353122
6305.400728356659,-1101.402736941044
6308.043988854326,-1101.8644513462025
6310.422923302227,-1102.279994310845
6312.563964305337,-1102.6539829790233
6314.490901208137,-1102.990572780384
6316.225144420657,-1103.2935036016083
6317.785963311924,-1103.5661413407104
6319.190700314065,-1103.8115153059023
6320.454963615992,-1104.032351874575
6321.592800587726,-1104.2311047863802
6322.616853862287,-1104.4099824070051
6323.538501809391,-1104.5709722655674
6324.367984961786,-1104.7158631382736
6325.114519798941,-1104.846264923709
6325.78640115238,-1104.963626530601
6326.391094370475,-1105.0692519768038
6326.935318266761,-1105.1643148783862
6327.425119773418,-1105.2498714898104
6327.86594112941,-1105.3268724400923
6328.262680349802,-1105.396173295346
6328.619745648156,-1105.4585440650742
6328.941104416674,-1105.5146777578298
6329.23032730834,-1105.5651980813097
6329.490627910839,-1105.6106663724418
6329.724898453089,-1105.6515878344605
6329.9357419411135,-1105.6884171502775
6330.125501080335,-1105.7215635345126
6330.296284305635,-1105.7513952803242
6330.449989208405,-1105.7782438515546
6330.588323620897,-1105.802407565662
6330.712824592141,-1105.8241549083587
6330.824875466261,-1105.8437275167857
6330.925721252968,-1105.86134286437
6331.016482461005,-1105.877196677196
6331.098167548237,-1105.8914651087393
6331.171684126747,-1105.9043066971283
6331.237849047406,-1105.9158641266783
6331.297397475999,-1105.9262658132734
6331.350991061732,-1105.935627331209
6331.399225288892,-1105.9440526973508
6331.442636093336,-1105.9516355268786
6331.481705817336,-1105.9584600734536
6331.516868568936,-1105.9646021653712
6331.548515045376,-1105.970130048097
6331.5769968741715,-1105.97510514255
6331.602630520088,-1105.979582727558
6331.625700801412,-1105.983612554065
6331.646464054604,-1105.9872393979215
6331.665150982477,-1105.9905035573922
6331.681969217562,-1105.993441300916
6331.6971056291395,-1105.9960852700872
6331.710728399559,-1105.9984648423413
6331.722988892937,-1106.00060645737
6331.734023336977,-1106.0025339108959
6331.743954336613,-1106.004268619069
6331.752892236284,-1106.005829856425
6331.76093634599,-1106.0072349700454
6331.768176044724,-1106.0084995723037
6331.774691773585,-1106.0096377143361
6331.780555929559,-1106.0106620421654
6331.785833669936,-1106.0115839372118
6331.790583636276,-1106.0124136427535
6331.794858605982,-1106.013160377741
6331.798706078717,-1106.0138324392299
6331.802168804179,-1106.0144372945697
6331.8052852570945,-1106.0149816643757
6331.808090064718,-1106.015471597201
6331.81061439158,-1106.0159125367438
6331.812886285756,-1106.0163093823323
6331.814930990514,-1106.016666543362
6331.816771224796,-1106.0169879882885
6331.81842743565,-1106.0172772887227
6331.819918025419,-1106.0175376591133
6331.82125955621,-1106.0177719924648
6331.822466933922,-1106.017982892481
6331.823553573863,-1106.0181727024958
6331.82453154981,-1106.0183435315091
6331.825411728162,-1106.018497277621
6331.82620388868,-1106.0186356491217
6331.826916833145,-1106.0187601834725
6331.8275584831645,-1106.0188722643882
6331.828135968181,-1106.0189731372122
6331.828655704697,-1106.019063922754
6331.829123467561,-1106.0191456297414
6331.829544454138,-1106.01921916603
6331.829923342058,-1106.01928534869
6331.830264341185,-1106.0193449130838
6331.8305712404,-1106.0193985210383
6331.8308474496935,-1106.0194467681974
6331.831096038058,-1106.0194901906407
6331.831319767585,-1106.0195292708395
